000000	0.317440
0.010000	0.347554
0.020000	0.377668
0.030000	0.407782
0.040000	0.437896
0.050000	0.468010
0.060000	0.498124
0.070000	0.528238
0.080000	0.558351
0.090000	0.588465
0.100000	0.618579
0.110000	0.648693
0.120000	0.678807
0.130000	0.708921
0.140000	0.739035
0.150000	0.769149
0.160000	0.793600
0.170000	0.793600
0.180000	0.793600
0.190000	0.793600
0.200000	0.793600
0.210000	0.793600
0.220000	0.793600
0.230000	0.793600
0.240000	0.793600
0.250000	0.793600
0.260000	0.793600
0.270000	0.793600
0.280000	0.793600
0.290000	0.793600
0.300000	0.793600
0.310000	0.793600
0.320000	0.793600
0.330000	0.793600
0.340000	0.793600
0.350000	0.793600
0.360000	0.793600
0.370000	0.793600
0.380000	0.793600
0.390000	0.793600
0.400000	0.793600
0.410000	0.793600
0.420000	0.793600
0.430000	0.793600
0.440000	0.793600
0.450000	0.793600
0.460000	0.793600
0.470000	0.793600
0.480000	0.793600
0.490000	0.793600
0.500000	0.793600
0.510000	0.793600
0.520000	0.793600
0.530000	0.793600
0.540000	0.793600
0.550000	0.793600
0.560000	0.793600
0.570000	0.793600
0.580000	0.793600
0.590000	0.793600
0.600000	0.793600
0.610000	0.793600
0.620000	0.793600
0.630000	0.793600
0.640000	0.793600
0.650000	0.793600
0.660000	0.793600
0.670000	0.793600
0.680000	0.793600
0.690000	0.793600
0.700000	0.793600
0.710000	0.793600
0.720000	0.793600
0.730000	0.793600
0.740000	0.793600
0.750000	0.793600
0.760000	0.793600
0.770000	0.793600
0.780000	0.793600
0.790000	0.793600
0.800000	0.784273
0.810000	0.774590
0.820000	0.765144
0.830000	0.755926
0.840000	0.746926
0.850000	0.738139
0.860000	0.729556
0.870000	0.721170
0.880000	0.712975
0.890000	0.704964
0.900000	0.697131
0.910000	0.689471
0.920000	0.681976
0.930000	0.674643
0.940000	0.667466
0.950000	0.660440
0.960000	0.653561
0.970000	0.646823
0.980000	0.640223
0.990000	0.633756
10000	0.627418
1.01000	0.621206
1.02000	0.615116
1.03000	0.609144
1.04000	0.603287
1.05000	0.597541
1.06000	0.591904
1.07000	0.586372
1.08000	0.580943
1.09000	0.575613
1.10000	0.570380
1.11000	0.565242
1.12000	0.560195
1.13000	0.555237
1.14000	0.550367
1.15000	0.545581
1.16000	0.540878
1.17000	0.536255
1.18000	0.531710
1.19000	0.527242
1.20000	0.522848
1.21000	0.518527
1.22000	0.514277
1.23000	0.510096
1.24000	0.505982
1.25000	0.501935
1.26000	0.497951
1.27000	0.494030
1.28000	0.490170
1.29000	0.486371
1.30000	0.482629
1.31000	0.478945
1.32000	0.475317
1.33000	0.471743
1.34000	0.468223
1.35000	0.464754
1.36000	0.461337
1.37000	0.457969
1.38000	0.454651
1.39000	0.451380
1.40000	0.448156
1.41000	0.444977
1.42000	0.441844
1.43000	0.438754
1.44000	0.435707
1.45000	0.432702
1.46000	0.429738
1.47000	0.426815
1.48000	0.423931
1.49000	0.421086
1.50000	0.418279
1.51000	0.415509
1.52000	0.412775
1.53000	0.410077
1.54000	0.407414
1.55000	0.404786
1.56000	0.402191
1.57000	0.399629
1.58000	0.397100
1.59000	0.394603
1.60000	0.392136
1.61000	0.389701
1.62000	0.387295
1.63000	0.384919
1.64000	0.382572
1.65000	0.380253
1.66000	0.377963
1.67000	0.375700
1.68000	0.373463
1.69000	0.371253
1.70000	0.369070
1.71000	0.366911
1.72000	0.364778
1.73000	0.362669
1.74000	0.360585
1.75000	0.358525
1.76000	0.356488
1.77000	0.354474
1.78000	0.352482
1.79000	0.350513
1.80000	0.348566
1.81000	0.346640
1.82000	0.344735
1.83000	0.342851
1.84000	0.340988
1.85000	0.339145
1.86000	0.337322
1.87000	0.335518
1.88000	0.333733
1.89000	0.331967
1.90000	0.330220
1.91000	0.328491
1.92000	0.326780
1.93000	0.325087
1.94000	0.323411
1.95000	0.321753
1.96000	0.320111
1.97000	0.318486
1.98000	0.316878
1.99000	0.315286
20000	0.313709
2.01000	0.312148
2.02000	0.310603
2.03000	0.309073
2.04000	0.307558
2.05000	0.306058
2.06000	0.304572
2.07000	0.303101
2.08000	0.301643
2.09000	0.300200
2.10000	0.298771
2.11000	0.297355
2.12000	0.295952
2.13000	0.294563
2.14000	0.293186
2.15000	0.291822
2.16000	0.290471
2.17000	0.289133
2.18000	0.287807
2.19000	0.286492
2.20000	0.285190
2.21000	0.283900
2.22000	0.282621
2.23000	0.281353
2.24000	0.280097
2.25000	0.278853
2.26000	0.277619
2.27000	0.276396
2.28000	0.275183
2.29000	0.273982
2.30000	0.272791
2.31000	0.271610
2.32000	0.270439
2.33000	0.269278
2.34000	0.268127
2.35000	0.266986
2.36000	0.265855
2.37000	0.264733
2.38000	0.263621
2.39000	0.262518
2.40000	0.261424
2.41000	0.260339
2.42000	0.259264
2.43000	0.258197
2.44000	0.257139
2.45000	0.256089
2.46000	0.255048
2.47000	0.254015
2.48000	0.252991
2.49000	0.251975
2.50000	0.250967
2.51000	0.249967
2.52000	0.248975
2.53000	0.247991
2.54000	0.247015
2.55000	0.246046
2.56000	0.245085
2.57000	0.244132
2.58000	0.243185
2.59000	0.242246
2.60000	0.241315
2.61000	0.240390
2.62000	0.239473
2.63000	0.238562
2.64000	0.237658
2.65000	0.236762
2.66000	0.235871
2.67000	0.234460
2.68000	0.232714
2.69000	0.230987
2.70000	0.229279
2.71000	0.227590
2.72000	0.225919
2.73000	0.224267
2.74000	0.222633
2.75000	0.221017
2.76000	0.219418
2.77000	0.217837
2.78000	0.216273
2.79000	0.214725
