
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-11-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.0
Rrup Min (km):, 5.0
Rrup Max (km):, 30.0
Rjb Min (km):, 0.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 760.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 40.0
Scale Factor Min:, 0.2
Scale Factor Max:, 7.0
Period Array:, 0.52,0.65,0.78
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 11
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 313, 0.0007, 1.5555, -, 5.4, 15.4, 0.9, "Corinth_ Greece", 1981, "Corinth", 6.6, Normal Oblique, 10.27, 10.27, 361.4, 0.25, 1.5562, RSN313_CORINTH_COR--L.AT2, RSN313_CORINTH_COR--T.AT2 , RSN313_CORINTH_COR-UP.AT2  
2, SRSS, 1086, 0.0004, 0.6131, 2.436, 3.3, 6.8, 5.0, "Northridge-01", 1994, "Sylmar - Olive View Med FF", 6.69, Reverse, 1.74, 5.3, 440.54, 0.12, 0.6133, RSN1086_NORTHR_SYL090.AT2, RSN1086_NORTHR_SYL360.AT2 , RSN1086_NORTHR_SYL-UP.AT2  
3, SRSS, 2628, 0.0006, 1.0218, -, 2.3, 5.4, 2.1, "Chi-Chi_ Taiwan-03", 1999, "TCU078", 6.2, Reverse, 0.0, 7.62, 443.04, 0.05, 1.0223, RSN2628_CHICHI.03_TCU078N.AT2, RSN2628_CHICHI.03_TCU078E.AT2 , RSN2628_CHICHI.03_TCU078V.AT2  
4, SRSS, 2635, 0.0018, 5.6188, -, 3.0, 7.3, 0.1, "Chi-Chi_ Taiwan-03", 1999, "TCU089", 6.2, Reverse, 5.93, 9.81, 671.52, 0.125, 5.6215, RSN2635_CHICHI.03_TCU089N.AT2, RSN2635_CHICHI.03_TCU089E.AT2 , RSN2635_CHICHI.03_TCU089V.AT2  
5, SRSS, 2734, 0.0017, 0.9006, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 0.9011, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
6, SRSS, 3473, 0.001, 1.4828, 4.151, 3.6, 7.4, 1.0, "Chi-Chi_ Taiwan-06", 1999, "TCU078", 6.3, Reverse, 5.72, 11.52, 443.04, 0.04, 1.4835, RSN3473_CHICHI.06_TCU078N.AT2, RSN3473_CHICHI.06_TCU078E.AT2 , RSN3473_CHICHI.06_TCU078V.AT2  
7, SRSS, 4069, 0.0009, 4.9864, -, 4.9, 11.1, 0.2, "Parkfield-02_ CA", 2004, "PARKFIELD - JACK CANYON", 6.0, strike slip, 9.12, 9.46, 576.21, 0.125, 4.9887, RSN4069_PARK2004_JACK-90.AT2, RSN4069_PARK2004_JACK360.AT2 , RSN4069_PARK2004_JACK-UP.AT2  
8, SRSS, 4127, 0.0005, 5.9081, -, 2.3, 9.1, 0.2, "Parkfield-02_ CA", 2004, "Parkfield - Stone Corral 2E", 6.0, strike slip, 5.23, 5.8, 566.33, 0.5, 5.9108, RSN4127_PARK2004_SC2090.AT2, RSN4127_PARK2004_SC2360.AT2 , RSN4127_PARK2004_SC2-UP.AT2  
9, SRSS, 4228, 0.0009, 1.1307, 1.799, 3.9, 12.2, 2.2, "Niigata_ Japan", 2004, "NIGH11", 6.63, Reverse, 6.27, 8.93, 375.0, 0.05, 1.1312, RSN4228_NIIGATA_NIGH11NS.AT2, RSN4228_NIIGATA_NIGH11EW.AT2 , RSN4228_NIIGATA_NIGH11UD.AT2  
10, SRSS, 4847, 0.0008, 0.8014, 1.4, 7.3, 20.3, 2.3, "Chuetsu-oki_ Japan", 2007, "Joetsu Kakizakiku Kakizaki", 6.8, Reverse, 9.43, 11.94, 383.43, 0.0875, 0.8018, RSN4847_CHUETSU_65010NS.AT2, RSN4847_CHUETSU_65010EW.AT2 , RSN4847_CHUETSU_65010UD.AT2  
11, SRSS, 5818, 0.0017, 0.9252, -, 6.5, 15.1, 7.3, "Iwate_ Japan", 2008, "Kurihara City", 6.9, Reverse, 12.83, 12.85, 512.26, 0.1, 0.9256, RSN5818_IWATE_48A61NS.AT2, RSN5818_IWATE_48A61EW.AT2 , RSN5818_IWATE_48A61UD.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-313 SRSS pSa (g),RSN-1086 SRSS pSa (g),RSN-2628 SRSS pSa (g),RSN-2635 SRSS pSa (g),RSN-2734 SRSS pSa (g),RSN-3473 SRSS pSa (g),RSN-4069 SRSS pSa (g),RSN-4127 SRSS pSa (g),RSN-4228 SRSS pSa (g),RSN-4847 SRSS pSa (g),RSN-5818 SRSS pSa (g)
0.055,0.251296,0.3082027,0.242,0.6603277,0.8866169,0.729,0.3637952,0.5793008,0.466,0.09548815,0.09431835,0.074,0.3935758,0.3671783,0.755,0.4317383,0.2989147,0.357,0.3593105,0.208597,0.229,0.405367,0.3163215,0.744,0.8153998,0.9957126,1.07,0.5301563,0.5959027,0.407,0.5119982,0.7343513,0.763
0.06,0.2588195,0.309621,0.254,0.6712356,1.054372,0.762,0.3728013,0.6366773,0.495,0.08644366,0.1031771,0.077,0.4580706,0.3878013,0.625,0.4503728,0.3060738,0.459,0.3520959,0.2297423,0.264,0.3179078,0.3062329,0.603,0.7794541,1.116688,1.01,0.4906577,0.5787135,0.432,0.5083305,0.7896518,0.98
0.065,0.2501714,0.3138653,0.3,0.6661984,1.050397,0.802,0.3580627,0.6524318,0.556,0.0967035,0.111893,0.0794,0.4438643,0.386739,0.543,0.4598959,0.3058899,0.542,0.30352,0.2650892,0.333,0.310974,0.3390076,0.504,1.014486,1.345083,0.878,0.6911542,0.5453743,0.491,0.514293,0.8334567,1.26
0.067,0.2538617,0.3213893,0.3,0.6578779,1.014916,0.821,0.4050271,0.6649407,0.528,0.09855855,0.1115319,0.0841,0.4606691,0.403528,0.596,0.4459619,0.3094293,0.563,0.3075677,0.2896186,0.368,0.3242369,0.3232923,0.504,1.045049,1.383366,0.846,0.6913978,0.5611014,0.539,0.5287364,0.8188812,1.16
0.07,0.2591206,0.3234058,0.285,0.6188462,1.043608,0.826,0.4640702,0.7065795,0.496,0.09938665,0.1118239,0.0915,0.4555765,0.4205861,0.597,0.429641,0.3042774,0.577,0.320482,0.3158927,0.424,0.336186,0.3838833,0.445,1.005773,1.52043,0.936,0.6637633,0.6585889,0.619,0.5783414,0.7685279,1.11
0.075,0.2649796,0.3120276,0.259,0.6552075,1.090324,0.822,0.4267304,0.7587376,0.467,0.1021766,0.1139359,0.125,0.4422782,0.4972323,0.562,0.4855232,0.3300579,0.588,0.325832,0.311958,0.497,0.3995104,0.545985,0.312,1.029139,1.256484,0.889,0.6417152,0.685019,0.605,0.6418694,0.83437,1.16
0.08,0.2706788,0.3056816,0.235,0.741029,1.251819,1.01,0.3912323,0.81888,0.433,0.1130002,0.1248152,0.135,0.4493971,0.5692857,0.579,0.5201063,0.3623488,0.614,0.3755147,0.3399168,0.53,0.4064159,0.6759176,0.262,0.9178264,1.215572,0.718,0.5162382,0.6322456,0.671,0.6495007,0.8691828,1.29
0.085,0.2864779,0.3028502,0.249,0.7714732,1.387227,1.0,0.4043885,0.8018755,0.58,0.109629,0.1200956,0.122,0.4229719,0.5889936,0.583,0.5689629,0.4179136,0.667,0.383785,0.3848851,0.523,0.4340231,0.6125212,0.258,0.932811,1.052716,0.592,0.5950307,0.6194419,0.616,0.6499123,0.82793,0.956
0.09,0.304913,0.3177224,0.249,0.8356735,1.397969,1.07,0.4651757,0.8661366,0.653,0.1207546,0.1462978,0.113,0.4791577,0.5981581,0.618,0.6235417,0.4648387,0.664,0.3509048,0.4145918,0.51,0.4550042,0.5274227,0.248,1.081044,1.198285,0.64,0.6002236,0.638997,0.473,0.629544,0.849408,0.839
0.095,0.2764563,0.36166,0.321,0.9282523,1.288804,1.1,0.5117755,0.9761267,0.698,0.1410553,0.1516251,0.0974,0.5147106,0.6474617,0.839,0.7659802,0.4999836,0.705,0.3610516,0.3870677,0.503,0.5235162,0.5577429,0.247,1.247008,1.123176,0.662,0.5870765,0.6021485,0.596,0.6869463,0.862735,0.675
0.1,0.2623717,0.3703646,0.349,1.014523,1.254875,1.29,0.5836965,1.175699,0.66,0.1511499,0.1576618,0.0857,0.6196451,0.7012032,1.19,0.8704925,0.4816018,0.742,0.3465079,0.38203,0.501,0.6431366,0.5830383,0.24,1.16495,1.172648,0.558,0.5177493,0.6017424,0.645,0.7434807,0.7987651,0.782
0.11,0.2925864,0.379966,0.22,1.097704,1.178875,1.24,0.8049015,1.228551,0.599,0.1871921,0.1398789,0.0965,0.7785989,0.7088904,1.34,0.9380732,0.5225296,0.726,0.2809932,0.3893729,0.493,0.7248312,0.6310841,0.184,0.985909,1.441831,0.61,0.560886,0.7248605,0.647,0.8851194,0.9622031,0.778
0.12,0.347284,0.4082455,0.197,0.9805514,1.224701,1.32,0.6932117,1.078219,0.527,0.1804162,0.2150674,0.077,0.8919741,0.6448433,0.808,0.8508163,0.6069596,0.678,0.2983124,0.5031091,0.444,0.7240115,0.4378018,0.231,0.9758402,1.275223,0.566,0.6290745,0.5794415,0.558,1.087,1.321428,0.87
0.13,0.2980156,0.4848482,0.241,0.8900502,1.342633,1.41,0.7432394,1.244438,0.391,0.1695606,0.2763538,0.0684,0.7986937,0.7958779,0.776,0.7281708,0.6188476,0.49,0.3758329,0.5394601,0.376,0.67053,0.4544753,0.234,0.9558628,1.376726,0.421,0.6458175,0.5799472,0.409,1.061747,1.171176,0.803
0.133,0.2966009,0.5339988,0.25,0.8751343,1.368276,1.46,0.7304932,1.252779,0.41,0.1887906,0.2755923,0.0647,0.7558536,0.788638,0.831,0.7435432,0.6373506,0.527,0.3732666,0.5163605,0.355,0.7070948,0.4956726,0.265,1.054335,1.335987,0.354,0.6346713,0.6189644,0.428,0.9902008,1.156894,0.777
0.14,0.2943827,0.5595452,0.256,0.8700445,1.389333,1.38,0.6664392,0.9957918,0.466,0.2093749,0.261679,0.074,0.7413217,0.7613595,0.688,0.7287689,0.7028497,0.498,0.3749628,0.4202765,0.317,0.7103646,0.5688477,0.297,1.168804,1.295274,0.325,0.6094372,0.6766536,0.472,1.001951,1.111307,0.783
0.15,0.3445332,0.5211198,0.264,0.821332,1.303871,1.21,0.641062,1.107722,0.433,0.1654063,0.2496605,0.0696,0.8576459,0.8345705,0.446,0.8083271,0.7867918,0.389,0.3825768,0.366922,0.277,0.7369666,0.7089292,0.237,1.008063,1.348059,0.398,0.625142,0.7428016,0.377,1.394181,1.214016,0.694
0.16,0.3538432,0.5363532,0.225,0.8299385,1.245854,1.2,0.6650279,1.210014,0.446,0.1390358,0.2737205,0.0635,0.9623041,0.7290476,0.387,1.0748,0.8700066,0.4,0.3841012,0.4188311,0.243,0.6156777,0.7376153,0.188,0.8613954,1.251951,0.472,0.7012573,0.6949819,0.339,1.707091,1.261451,0.679
0.17,0.3862434,0.6184476,0.24,0.7454897,1.202905,1.25,0.5590413,1.518055,0.377,0.12476,0.2941231,0.0865,0.9345675,0.6251208,0.354,1.241243,0.8954387,0.369,0.4201017,0.3588803,0.214,0.4455685,0.6354426,0.158,0.8806359,1.229213,0.379,0.6483723,0.5872146,0.275,1.625147,1.218816,0.596
0.18,0.3850328,0.7726145,0.272,0.8412119,1.150284,1.03,0.5065231,1.519196,0.316,0.1386435,0.2742496,0.0861,0.8572061,0.5489148,0.36,1.279326,0.7818695,0.393,0.4005839,0.3590359,0.189,0.3435352,0.5024915,0.165,0.7760322,1.222337,0.483,0.5616359,0.6109579,0.265,1.355468,1.371515,0.448
0.19,0.3629021,0.782526,0.229,0.9572098,1.171591,0.911,0.6068437,1.546015,0.302,0.1405804,0.293948,0.0741,0.9377584,0.7050402,0.378,1.176515,0.7528256,0.44,0.4692231,0.3842212,0.173,0.2853181,0.3590476,0.125,0.7582094,1.313852,0.551,0.6015263,0.6565882,0.332,1.440501,1.714077,0.491
0.2,0.3826458,0.7363509,0.252,0.9207391,1.225043,0.886,0.7885528,1.43626,0.288,0.1350379,0.2999376,0.0893,0.9551282,0.7541468,0.378,1.251688,0.7621734,0.435,0.4820188,0.359846,0.17,0.2603879,0.3606686,0.122,0.90863,1.413971,0.478,0.5905047,0.7242258,0.304,1.564409,2.075883,0.455
0.22,0.4571045,0.7162541,0.327,0.8731331,1.340531,0.625,1.068267,1.217507,0.278,0.1918762,0.2956711,0.0954,1.027451,0.7558219,0.444,1.367311,0.6953471,0.355,0.4082327,0.3590282,0.168,0.283924,0.2703985,0.128,1.096317,1.245367,0.375,0.5385839,0.8056156,0.33,1.233769,1.862614,0.291
0.24,0.5497615,0.8365567,0.367,0.8821673,1.530154,0.546,1.144711,1.18424,0.3,0.1807839,0.2420536,0.0741,1.057586,0.9426848,0.549,1.045755,0.6776636,0.319,0.3873537,0.2686026,0.154,0.362648,0.2509695,0.106,1.013482,1.306995,0.298,0.6507725,0.6694338,0.279,1.298071,1.86888,0.289
0.25,0.572977,0.8481098,0.36,0.8453542,1.673776,0.559,1.124056,1.269301,0.284,0.1699102,0.2295401,0.0784,0.9658632,0.8920948,0.545,1.085219,0.7656883,0.321,0.3593006,0.2347634,0.148,0.3853246,0.2458255,0.097,0.9618523,1.229207,0.286,0.6739054,0.7025288,0.33,1.475099,1.956227,0.333
0.26,0.6135634,0.8999492,0.34,0.8571434,1.864667,0.5,0.986109,1.488156,0.305,0.1654155,0.210663,0.0748,0.9389445,0.8174596,0.495,1.198092,0.8281943,0.315,0.3185472,0.222514,0.138,0.334783,0.2414115,0.0894,0.9392877,1.139245,0.242,0.5968079,0.7437837,0.316,1.479854,2.639063,0.368
0.28,0.6003661,0.8172968,0.227,0.9001469,2.277882,0.359,1.042792,1.742728,0.393,0.1535608,0.2007752,0.0649,0.8282974,0.6797595,0.418,1.223509,0.7986726,0.328,0.22971,0.2217999,0.11,0.2440056,0.2347536,0.0929,0.9486237,0.9311109,0.166,0.5443717,0.6776531,0.269,1.53743,2.214999,0.372
0.29,0.5735466,0.7026973,0.218,0.9258857,2.500428,0.353,1.074285,1.772253,0.382,0.1486318,0.2347312,0.0645,0.8834996,0.6772981,0.457,1.159581,0.7762888,0.349,0.2080683,0.2272252,0.105,0.2197094,0.2510836,0.103,1.018829,0.8907374,0.179,0.4784988,0.6715493,0.278,1.539844,1.957241,0.328
0.3,0.5496633,0.6147497,0.21,1.061144,2.615978,0.384,1.099839,1.752501,0.33,0.1711265,0.2443368,0.0615,0.9525833,0.6685278,0.546,1.051033,0.7442581,0.369,0.1870011,0.2342694,0.0994,0.2218895,0.262403,0.105,1.068867,0.9065889,0.181,0.5214569,0.7334568,0.301,1.405244,1.820735,0.368
0.32,0.4870441,0.5099315,0.206,1.211851,2.739075,0.37,0.9544093,1.610662,0.277,0.240233,0.2361677,0.0612,1.042517,0.6454874,0.643,1.022928,0.7026522,0.383,0.1710501,0.2548517,0.0944,0.1833725,0.2762697,0.0969,1.073071,0.9864969,0.191,0.6320517,0.8097783,0.314,1.414234,1.869244,0.334
0.34,0.4753364,0.4597226,0.226,1.153571,2.788475,0.425,0.6714389,1.405461,0.274,0.2593533,0.1837152,0.062,1.082319,0.5685982,0.652,0.8946428,0.7085369,0.372,0.172608,0.2842663,0.0876,0.1642038,0.3023299,0.0872,0.9571062,1.071469,0.195,0.6911402,0.6515357,0.306,1.500592,1.957381,0.305
0.35,0.4944889,0.455362,0.225,1.103746,2.803967,0.426,0.6568242,1.285164,0.255,0.255342,0.171294,0.0687,1.125591,0.4761476,0.638,0.8166291,0.70701,0.369,0.1588749,0.2914929,0.0876,0.1578011,0.3222598,0.08,0.9639567,1.126954,0.216,0.6875298,0.6740145,0.302,1.553323,2.13905,0.295
0.36,0.5131562,0.4550386,0.22,1.101349,2.802258,0.386,0.6343018,1.153124,0.234,0.2410205,0.1786468,0.0777,1.1857,0.4739653,0.618,0.7723699,0.6780707,0.374,0.1476934,0.2912093,0.0858,0.1679554,0.3370798,0.0759,0.995743,1.174451,0.217,0.6790085,0.6860525,0.305,1.560766,2.30566,0.278
0.38,0.5361432,0.5311287,0.245,1.107737,2.745746,0.318,0.5813273,0.9264619,0.201,0.2200443,0.1956619,0.0955,1.309427,0.5255001,0.563,0.7355844,0.5219916,0.411,0.1543578,0.2900387,0.101,0.1814892,0.3486646,0.0682,1.119181,1.359908,0.222,0.672801,0.6448337,0.328,1.582498,1.864785,0.272
0.4,0.5339591,0.7064916,0.219,1.134004,2.681791,0.355,0.6175677,0.9250761,0.195,0.2392152,0.211515,0.0995,1.388423,0.6484985,0.511,0.647808,0.3975697,0.48,0.1596136,0.2934762,0.106,0.17414,0.3389654,0.0859,1.139645,1.542981,0.223,0.5781705,0.7601169,0.338,1.520188,1.841148,0.271
0.42,0.5442682,0.747209,0.212,1.151489,2.584821,0.353,0.543224,0.9083312,0.223,0.2574329,0.2040484,0.0923,1.423521,0.7233218,0.4,0.603824,0.5127386,0.502,0.1559131,0.2841128,0.0994,0.154427,0.3155795,0.0979,1.015066,1.333628,0.216,0.4717155,0.798412,0.273,1.253061,1.759853,0.277
0.44,0.6037167,0.8131682,0.215,1.186395,2.432879,0.325,0.5243636,0.8791975,0.259,0.2419832,0.1813694,0.0897,1.399864,0.6638377,0.338,0.7532485,0.5384488,0.472,0.143344,0.272554,0.0934,0.1646369,0.2840951,0.0991,0.9031041,1.242265,0.211,0.4640709,0.8639424,0.247,1.174898,1.609285,0.24
0.45,0.6090249,0.7889881,0.219,1.204856,2.376943,0.308,0.5260207,0.8610658,0.276,0.2236805,0.1763071,0.0905,1.371671,0.6044443,0.314,0.8317871,0.5128033,0.448,0.1384438,0.2681455,0.0885,0.1697669,0.2697921,0.102,0.8595461,1.206377,0.211,0.4706402,0.9171877,0.22,1.138558,1.519314,0.213
0.46,0.6029953,0.7405499,0.21,1.200442,2.300467,0.289,0.5251539,0.8416713,0.288,0.2075151,0.1704212,0.0919,1.334916,0.5388149,0.292,0.8801862,0.475983,0.428,0.1353676,0.2636653,0.0835,0.1733212,0.2553329,0.109,0.8235903,1.157637,0.206,0.5241758,0.9792245,0.205,1.097772,1.437516,0.208
0.48,0.608411,0.597882,0.193,1.29134,2.160367,0.22,0.516564,0.8072614,0.292,0.1781067,0.1572125,0.0901,1.23633,0.5652114,0.259,0.8755501,0.408024,0.4,0.1292313,0.2522478,0.0734,0.1749971,0.2223882,0.112,0.7547539,1.055652,0.192,0.6382344,1.093591,0.231,0.9933586,1.284104,0.258
0.5,0.6468393,0.5206389,0.166,1.341289,1.991505,0.229,0.4949579,0.9460975,0.264,0.1594524,0.144056,0.0777,1.285052,0.6416358,0.233,0.7879362,0.4422948,0.382,0.1183961,0.2388854,0.0568,0.1670328,0.1920122,0.1,0.6863813,0.9932234,0.163,0.7192024,1.174645,0.236,0.8792185,1.159313,0.315
0.55,0.6267143,0.4173631,0.11,1.337863,1.497865,0.252,0.3758747,1.085444,0.182,0.1424618,0.1428923,0.0468,1.076177,0.7962916,0.182,0.6043318,0.5740612,0.378,0.107731,0.2095545,0.0451,0.1323292,0.1579581,0.0836,0.5900016,0.8477849,0.136,0.7855802,1.216593,0.216,0.6427401,1.016447,0.251
0.6,0.5577288,0.4116817,0.0986,1.220155,1.36976,0.367,0.2713314,1.021803,0.213,0.1374477,0.1650972,0.0583,0.980633,0.8577883,0.217,0.5546557,0.4778044,0.365,0.09587105,0.19377,0.0385,0.1253451,0.1341951,0.0758,0.562921,0.7683855,0.167,0.7958033,1.156764,0.17,0.674103,0.9655623,0.257
0.65,0.5221496,0.3926695,0.116,1.030443,1.321848,0.272,0.2481001,0.9794958,0.247,0.1170991,0.1475122,0.0588,0.9081249,0.7645707,0.185,0.5735352,0.433402,0.317,0.09753887,0.1797004,0.0418,0.1341464,0.1076418,0.0608,0.5520617,0.7729129,0.185,0.7589635,1.086522,0.157,0.6138922,0.9183814,0.237
0.667,0.523556,0.3866165,0.131,0.9625773,1.305898,0.259,0.258019,0.954289,0.253,0.1061472,0.1446933,0.0592,0.8697536,0.7279111,0.169,0.5628366,0.4046665,0.297,0.1019242,0.1716456,0.0392,0.1364587,0.09889697,0.0575,0.5322941,0.7525225,0.166,0.7326648,1.063808,0.152,0.6428809,0.8974845,0.232
0.7,0.5211042,0.3664651,0.164,0.832014,1.271147,0.257,0.2802326,0.8982449,0.265,0.08977372,0.1442067,0.0626,0.7721785,0.6848637,0.153,0.5318663,0.321883,0.258,0.1208586,0.1554969,0.0355,0.1379689,0.08983371,0.0483,0.49329,0.7028455,0.173,0.6619232,1.016822,0.168,0.65447,0.8537712,0.232
0.75,0.4865273,0.3440347,0.14,0.8547988,1.204476,0.349,0.2915675,0.8710321,0.243,0.07774873,0.1310382,0.0628,0.6085519,0.6932425,0.124,0.5169018,0.2922638,0.238,0.1261429,0.1415151,0.0439,0.1332983,0.07984062,0.0429,0.4569222,0.6224434,0.184,0.5114908,0.9354513,0.141,0.6624305,0.780683,0.205
0.8,0.5040223,0.3935233,0.135,1.143918,1.09928,0.327,0.285059,0.7623191,0.223,0.07476682,0.1094487,0.0554,0.4826175,0.7255356,0.115,0.4887758,0.3911149,0.188,0.1055528,0.1355709,0.0483,0.130307,0.09222451,0.0483,0.428871,0.5678782,0.158,0.3590283,0.8508453,0.109,0.6371766,0.7021787,0.222
0.85,0.4183313,0.4341151,0.13,1.193015,0.9753381,0.289,0.2517325,0.606108,0.201,0.06065056,0.1009587,0.0462,0.4371841,0.8905365,0.0985,0.4023776,0.4532553,0.161,0.09080067,0.1233431,0.0391,0.1434885,0.09297388,0.054,0.3859981,0.5533904,0.168,0.3491846,0.8214747,0.116,0.5455108,0.6176574,0.233
0.9,0.3369878,0.3933225,0.13,1.04828,0.8626287,0.272,0.1997584,0.4670828,0.175,0.04555539,0.08548303,0.0367,0.3947562,0.7873509,0.0976,0.3045835,0.473311,0.153,0.0853726,0.1046585,0.0254,0.1458146,0.08691667,0.0543,0.3481998,0.5456652,0.144,0.3179355,0.8248619,0.134,0.3620403,0.7102795,0.216
0.95,0.3020001,0.3033509,0.161,0.8259109,0.8243641,0.195,0.1896971,0.3875709,0.135,0.04121826,0.07364009,0.037,0.358215,0.685971,0.101,0.2766618,0.4541897,0.207,0.07652967,0.0864307,0.0222,0.1442173,0.08120565,0.0431,0.3371792,0.522489,0.124,0.3385212,0.8376734,0.138,0.3200403,0.6621903,0.192
1.0,0.2955338,0.2567804,0.184,0.6165329,0.867017,0.178,0.2147118,0.3260505,0.101,0.04001527,0.072505,0.0369,0.326546,0.6058698,0.0951,0.2536146,0.4181839,0.23,0.07159089,0.07364342,0.0254,0.138723,0.07371722,0.0474,0.339517,0.4835944,0.109,0.4021733,0.8525805,0.11,0.3035643,0.5498934,0.174
1.1,0.2628413,0.2082195,0.143,0.4182121,0.9256808,0.178,0.1499571,0.2691976,0.0879,0.04326746,0.05985931,0.0373,0.2732569,0.3781907,0.0913,0.2170701,0.3620608,0.186,0.05531147,0.06443684,0.0217,0.1310754,0.07362982,0.0502,0.3641428,0.3929076,0.0915,0.442748,0.8711339,0.14,0.282892,0.4420439,0.123
1.2,0.2057177,0.1878205,0.0881,0.4899303,0.9316837,0.16,0.09139471,0.2720791,0.0904,0.04854137,0.05678519,0.0295,0.23124,0.3332593,0.117,0.1862335,0.3260685,0.102,0.04242186,0.05761634,0.0137,0.1313361,0.07436456,0.0585,0.3669781,0.3239367,0.0981,0.4119379,0.8478876,0.16,0.251676,0.3870707,0.11
1.3,0.1828127,0.1921988,0.0707,0.5419136,0.9037927,0.149,0.09313691,0.2884525,0.0922,0.05020528,0.06666622,0.0278,0.2289656,0.3279423,0.123,0.1525477,0.2791014,0.0849,0.03538908,0.04914642,0.0117,0.1252104,0.07111731,0.0406,0.3402577,0.2813247,0.105,0.3587912,0.8310879,0.176,0.2593545,0.3361265,0.0879
1.4,0.191273,0.1502851,0.0934,0.5113761,0.8615234,0.138,0.1192542,0.2754217,0.0964,0.04627318,0.06302197,0.0233,0.2839291,0.3452088,0.107,0.1266751,0.2240074,0.102,0.02990252,0.0443874,0.00856,0.107264,0.0682072,0.0294,0.2977793,0.2487711,0.1,0.3576644,0.7153155,0.121,0.2700104,0.3144392,0.0967
1.5,0.2011273,0.1250636,0.0983,0.4425817,0.8497773,0.135,0.1265034,0.2488177,0.101,0.04733612,0.04951177,0.0184,0.3150281,0.3271821,0.0849,0.1282736,0.1806534,0.11,0.02815487,0.03809411,0.00899,0.08990205,0.06618316,0.0251,0.255283,0.2310173,0.0757,0.3210481,0.6379753,0.122,0.2455247,0.3836356,0.125
1.6,0.1900481,0.1090984,0.0866,0.3817247,0.816775,0.126,0.1046463,0.2696049,0.105,0.04344338,0.04725891,0.0161,0.3155139,0.3237101,0.0663,0.1176453,0.1516475,0.105,0.02779362,0.03463444,0.0072,0.07548632,0.06099075,0.0225,0.2178998,0.2195785,0.062,0.2720266,0.5760276,0.158,0.2463155,0.3893434,0.131
1.7,0.2027591,0.1023237,0.0757,0.3825557,0.7633467,0.115,0.09013204,0.2782449,0.108,0.03694286,0.04926236,0.0179,0.3160444,0.2957693,0.0739,0.1059125,0.1311374,0.0966,0.03006005,0.03212189,0.00708,0.06510569,0.04969244,0.0183,0.1921797,0.2031151,0.0557,0.2278339,0.603866,0.149,0.2919736,0.3826157,0.119
1.8,0.1754908,0.1290811,0.0696,0.4115634,0.709084,0.113,0.08330421,0.2772014,0.112,0.02991494,0.0683141,0.018,0.2994504,0.250253,0.0843,0.09590553,0.1137638,0.0873,0.02799329,0.03041367,0.00779,0.05707677,0.03914485,0.0149,0.1797202,0.1921737,0.0523,0.2576599,0.6068935,0.122,0.2526857,0.3248644,0.131
1.9,0.1247993,0.1544534,0.0719,0.4394949,0.6590627,0.104,0.08236707,0.2667715,0.118,0.02489946,0.08035176,0.0172,0.2847618,0.2034114,0.0925,0.0861176,0.09937747,0.079,0.02422568,0.02492946,0.00808,0.04969798,0.02902495,0.0122,0.165296,0.1745068,0.0538,0.3132672,0.5476055,0.111,0.2002791,0.3236426,0.116
2.0,0.1067977,0.176964,0.0738,0.4492944,0.6163138,0.101,0.08535483,0.2493176,0.124,0.0262169,0.07970888,0.0156,0.2757291,0.1641667,0.0964,0.07853338,0.0911373,0.0726,0.02039181,0.01989099,0.00719,0.04302766,0.0255051,0.0098,0.150162,0.1616234,0.053,0.345095,0.4347735,0.117,0.1988887,0.3520018,0.0908
